날짜,기온(°C),풍속(m/s),체감온도(°C)
2022-03-01,1.3900751877081348,7.409774436033331,-0.9216627929720818
2022-03-02,-0.10706766919611255,9.825112782033102,-3.3960532363842066
2022-03-03,-0.41443609022462624,7.410827066079946,-3.0292886393911616
2022-03-04,3.5378947367862565,9.915639097664098,0.9312940314237999
2022-03-05,2.7499248119274853,4.445714285910071,1.777916310178142
2022-03-06,3.2027067667077063,13.47353383351583,-0.20193896746722717
2022-03-07,4.709774435425061,19.021654134616256,0.8233971872124317
2022-03-08,0.4863157894324104,9.012030074227368,-2.467015870171649
2022-03-09,1.4142857140959677,5.262857143912697,-0.10009057810013078
2022-03-10,2.2171428576111794,8.348721804708475,-0.2343969356437905
2022-03-11,1.780451126760454,3.389473685674602,1.2624202581133277
2022-03-12,2.6852631573856343,7.2809022563451435,0.630627806470488
2022-03-13,2.4377443609519105,1.5861654135514982,3.4346850807057137
2022-03-14,2.286616540775867,2.6225563915795647,2.332500327188656
2022-03-15,2.819676690880442,12.07669172923488,-0.40042485425037677
2022-03-16,1.1335338352946565,5.104360905068461,-0.3502546714869237
2022-03-17,3.515338345692726,11.160150375479134,0.6293480045605242
2022-03-18,3.9317969928888488,4.338684212707449,3.1558787187921857
2022-03-19,8.491436089592753,21.205263157229638,5.350997057898825
2022-03-20,7.9857218035904225,9.039781956671504,6.415218139014431
2022-03-21,5.242706766366609,14.860150374937803,2.069692862481976
2022-03-22,3.20661654129799,8.90345864599658,0.7847806091689458
2022-03-23,2.273233082371007,7.028872179624159,0.23094106212529852
2022-03-24,2.0660150375151716,-1.4007518806029111,
2022-03-25,5.134999999369029,4.377308271301445,4.490254402227984
2022-03-26,8.35879699169891,4.708135338656575,7.993057591294917
2022-03-27,7.292872180347331,5.650225563957065,6.467334128879072
2022-03-28,8.200902254655375,13.806766918918584,5.86074194577292
2022-03-29,6.994711778534111,12.710100252297707,4.55530626166978
2022-03-30,5.329513256761857,6.354024535859935,3.9885517471772354
2022-03-31,5.182659279977088,6.039129402692197,3.920431275081636
2022-04-01,4.392127377021097,9.32184873856022,2.0877585308871462
2022-04-02,3.2529639891145052,7.498393351863342,1.2273308796345719
2022-04-03,2.9380357142745197,4.830375942052342,1.816347095959713
2022-04-04,4.924001670824509,13.002472849540936,1.983615234643529
2022-04-05,5.423045112607724,14.466045112698339,2.352821896105291
2022-04-06,3.5966679857328927,6.5770241398131475,1.9139948902653818
2022-04-07,7.132639932904567,7.317451963550411,5.807950245159903
2022-04-08,6.105172931973357,8.6099699241895,4.2847742667272914
2022-04-09,4.358894294316997,11.511853162446641,1.575051917803751
2022-04-10,5.6477487839183595,15.188199911048287,2.5195388720812795
2022-04-11,5.142653693226748,6.224007076559246,3.814245262245912
2022-04-12,4.992622733327153,6.703626713817357,3.490967971390639
2022-04-13,4.902598162152572,7.3038178787974175,3.210069557303008
2022-04-14,6.004172932138317,7.7276315790977606,4.383056583009001
2022-04-15,3.9238095238615642,7.381704260536935,2.045379673722529
2022-04-16,7.820761277835118,5.564097744660103,7.098327258153822
2022-04-17,9.156262083750335,13.305306122463662,7.1005535115314
2022-04-18,7.892300751766015,11.270766917048604,5.883440232412999
2022-04-19,5.154060150329315,6.042481203010539,3.886432850797938
2022-04-20,7.95601002496187,5.322967418615008,7.329326634001424
2022-04-21,7.688850698192255,12.75851772230817,5.392491692271114
2022-04-22,5.806680988440348,10.422814178080444,3.5349763268919827
2022-04-23,6.206466165440361,8.596090225562875,4.407652337267029
2022-04-24,7.159935552896059,8.876337271679176,5.471673625392608
2022-04-25,7.0659022555846605,6.538768799073296,5.940280725210749
2022-04-26,6.985012531484244,7.408982456399826,5.612172482459192
2022-04-27,6.4731471536215395,6.371858217098634,5.303574324233926
2022-04-28,8.03903329748573,7.015682062527048,6.940978651346265
2022-04-29,8.522336610836646,3.439236553705996,8.679540233394444
2022-04-30,8.327389903333824,5.524232008792751,7.689766007685051
